URL,ACTIVE,NEW_URL
https://admhelp.microfocus.com/lr/en/12.60/help/WebHelp/Content/Controller/toc_running_scenarios.htm,YES,
https://ant.apache.org/manual/Tasks/copy.html,YES,
https://api-v2v3search-0.nuget.org,YES,
https://api.github.com/repos/ibm-datapower/datapower-configuration-manager,YES,
https://api.ng.bluemix.net,YES,
https://bigfix-server:8080,INVALID,
https://bugs.company.com,NOT REACHABLE,
https://community.informatica.com/solutions/mapping_process_xml_data,YES,
https://confluence.jetbrains.com/display/TCD10/Configuring+Server+URL,YES,
https://containers-api.ng.bluemix.net/v3,NOT REACHABLE,
https://developer.ibm.com/answers/search.html?f=&type=question&redirect=search%2Fsearch&sort=relevance&q=%5Burbancode%5Dsybase,NO 404,
https://developer.ibm.com/answers/smart-spaces/23/urbancode.html,NO 404,
https://developer.ibm.com/answers/smart-spaces/23/urbancode.html.Use,NO 404,
https://developer.ibm.com/mainframe/products/zospt/,YES,
https://developer.ibm.com/urbancode/2013/12/06/ibm-urbancode-deploy-integration-rational-team-concert-build/,YES,
https://developer.ibm.com/urbancode/2015/09/18/continuous-integration-with-urbancode-deploy-and-ibm-business-process-server/,YES,
https://developer.ibm.com/urbancode/2017/05/02/salesforce-integration-ibm-urbancode-deploy/,YES,
https://developer.ibm.com/urbancode/2017/08/31/orchestrating-deployments-servicenow-urbancode-deploy/,YES,
https://developer.ibm.com/urbancode/2017/12/01/auto-discovery-weblogic/,YES,
https://developer.ibm.com/urbancode/docs/creating-versions-without-a-build-or-ci-tool/:,YES,
https://developer.ibm.com/urbancode/plugin/cloud-foundry-ibm-containers/,YES,
https://developer.ibm.com/urbancode/plugin/dockersourceconfig-ibmucd/,YES,
https://developer.ibm.com/urbancode/plugin/file-system-versioned-ibmucd,YES,
https://developer.ibm.com/urbancode/plugin/ibm-operational-decision-manager-source-config/,YES,
https://developer.ibm.com/urbancode/plugin/maven-ibmucd/.If,YES,
https://developer.ibm.com/urbancode/plugin/microsoft-visual-studio-team-services-vsts/,YES,
https://developer.ibm.com/urbancode/plugin/nexus-source-config/,YES,
https://developer.ibm.com/urbancode/plugin/shell-ibmucd/,YES,
https://developer.ibm.com/urbancode/plugin/websphere-application-server-deployment/,YES,
https://developer.ibm.com/urbancode/plugin/wldeploy/,YES,
https://developer.ibm.com/urbancode/plugindoc/ibmucd/cloud-foundry/14-2/troubleshooting/,YES,
https://developer.ibm.com/urbancode/plugindoc/ibmucd/oracle-service-bus-configuration-management/1-2/,YES,
https://developer.ibm.com/urbancode/plugindoc/ibmucd/resource-management-weblogic-server/2-554520/steps/,YES,
https://developer.ibm.com/urbancode/plugindoc/ibmucd/sv-ucd/1-1/stepssv/,YES,
https://developer.ibm.com/urbancode/plugindoc/ibmucd/websphere-mq/2-528233/steps/,YES,
https://developer.ibm.com/urbancode/plugindoc/ibmucd/zos-utility-plug/1-2/usage/,YES,
https://developer.ibm.com/urbancode/products/urbancode-deploy/,YES,
https://devops.hcldoc.com/launch/7.1.2/,YES,
https://docs.atlassian.com/jira/REST/latest/,YES,
https://docs.sonarqube.org/latest/project-administration/webhooks/,YES,
https://dzone.com/articles/headless-execution-of-selenium-tests-in-jenkins,YES,
https://eval.conjur.org,NOT REACHABLE,
https://example.com:8443,NOT REACHABLE,
https://f5.example.com:8443,NOT REACHABLE,
https://git.example.com/myproject.git,NOT REACHABLE,
https://git.example.com/repos,NOT REACHABLE,
https://github.com/cloudfoundry/cli/releases,YES,
https://github.com/ibm-cloud-architecture/refarch-hybridcloud-blueportal-api,YES,
https://github.com/ibm-datapower/datapower-configuration-manager/wiki,YES,
https://github.com/IBM-UrbanCode/IBM-API-Connect-UCD/issues,YES,
https://github.com/IBM-UrbanCode/IBM-Installation-Manager-UCD,YES,
https://github.com/IBM-UrbanCode/IBM-Integration-Bus-UCD,YES,
https://github.com/IBM-UrbanCode/Informatica-UCD,YES,
https://github.com/IBM-UrbanCode/SAP-CTS/issues,YES,
https://github.com/IBM-UrbanCode/Templates-UCD,YES,
https://help.rallydev.com/,YES,
https://help.sonatype.com/repomanager3/rest-and-integration-api/search-api,YES,
https://hg.example.com/repos/example/or,NOT REACHABLE,
https://hooks.slack.com/services/xxxx,YES,
https://hostname:9443/qm,INVALID,
https://hub.docker.com/r/urbancode/ucv-,YES,
https://hub.docker.com/r/urbancode/ucv-ext-,YES,
https://hub.docker.com/r/urbancode/ucv-ext-agility/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-appscan/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-asoc/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-azure/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-bitbucket-server/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-blackduck/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-coverage-core/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-cucumber/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-ewm/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-gitlab/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-jira/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-jmeter/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-junit/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-onetest-server/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-onetest/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-rally/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-rtas/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-servicenow/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-sonarqube/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-testng/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-twistlock/tags,YES,
https://hub.docker.com/r/urbancode/ucv-ext-versionone/tags,YES,
https://hub.jazz.net/project/pquiring/ucddockerplugins/overview,NOT REACHABLE,
https://ibmbpm:9443,INVALID,
https://index.docker.io/v1,YES,
https://index.docker.io/v1/,NO 404,
https://IP\_ADDRESS:PORT/nexus,INVALID,
https://jazz.net/help-dev/clm/index.jsp?topic=%2Fcom.ibm.rational.test.qm.doc%2Ftopics%2Fc_rqm_logfiles_loc.html,YES,
https://jazz.net/library/article/1480,YES,
https://jazz.net/wiki/bin/view/Main/RQMExecutionTool,YES,
https://localhost:8443,NOT REACHABLE,
https://localhost/,NOT REACHABLE,
https://mesosphere.github.io/marathon/docs/rest-api.html,YES,
https://my.server.com:4516,NOT REACHABLE,
https://myaccount.service-now.com,NOT REACHABLE,
https://mycompany.example.com:9443/jazz,NOT REACHABLE,
https://myserver:9443/jazz,INVALID,
https://myUrbanCodeServer:8443/,INVALID,
https://na17.salesforce.com,YES,
https://poc79.blackduck.synopsys.com,YES,
https://rally1.rallydev.com,YES,
https://registry.npmjs.org/,YES,
https://ScalingAPI.ng.bluemix.net,NO 404,
https://technet.microsoft.com/en-us/library/hh847796.aspx,YES,
https://tp-,INVALID,
https://tp-cicd2.nonprod.hclpnp.com,NOT REACHABLE,
https://trial.rallydev.com,NOT REACHABLE,
https://ucv.domain.com:8444,NOT REACHABLE,
https://url_urbancodevelocity_server>/reporting-consumer/metrics,INVALID,
https://wiki.servicenow.com/index.php?title=REST_API,NOT REACHABLE,
https://www-01.ibm.com/support/docview.wss?uid=swg22015122,NO 404,
https://www-01.ibm.com/support/knowledgecenter/,YES,
https://www.ibm.com/developerworks/community/forums/html/forum?id=11111111-0000-0000-0000-000000002724,YES,
https://www.ibm.com/developerworks/library/d-perform-complex-tasks-uCommand-trs/index.html,YES,
https://www.ibm.com/docs/en/urbancode-deploy/7.1.2?topic=tutorials-deploying-simple-web-application,YES,
https://www.ibm.com/support/knowledgecenter/en/SS4GSP_6.2.6/com.ibm.udeploy.install.doc/topics/agent_install_ov.html,YES,
https://www.ibm.com/support/knowledgecenter/en/SS4GSP_7.0.4/com.ibm.udeploy.doc/topics/zos_runtools.html,YES,
https://www.ibm.com/support/knowledgecenter/en/SSAW57_9.0.0/com.ibm.websphere.nd.multiplatform.doc/ae/rsec_adminroles.html,YES,
https://www.ibm.com/support/knowledgecenter/SS4GSP_6.1.3/com.ibm.udeploy.tutorial.doc/topics/webapp_component_processes.html,NO 404,
https://www.ibm.com/support/knowledgecenter/SS4GSP_6.2.2/com.ibm.udeploy.doc/topics/resources_agentPools.html,YES,
https://www.ibm.com/support/knowledgecenter/SS4GSP_6.2.7/com.ibm.udeploy.api.doc/topics/rest_cli_application_createapplicationfromtemplate_put.html,YES,
https://www.ibm.com/support/knowledgecenter/SS4GSP_6.2.7/com.ibm.udeploy.api.doc/topics/rest_cli_component_create_put.html,YES,
https://www.ibm.com/support/knowledgecenter/SS4GSP_6.2.7/com.ibm.udeploy.api.doc/topics/rest_cli_environment_createenvironment_put.html,YES,
https://www.ibm.com/support/knowledgecenter/SS4GSP_6.2.7/com.ibm.udeploy.api.doc/topics/rest_cli_resource_create_put.html,YES,
https://www.ibm.com/support/knowledgecenter/SS4GSP_7.1.1/com.ibm.udeploy.doc/topics/comp_template.html,YES,
https://www.ibm.com/support/knowledgecenter/SSAW57_8.5.5/com.ibm.websphere.nd.doc/ae/txml_script.html,YES,
https://www.ibm.com/support/knowledgecenter/SSCTJ4_5.2.1/com.ibm.casemgmt.design.doc/acmac003.htm,YES,
https://www.ibm.com/support/knowledgecenter/SSHRKX_8.5.0/mp/properties/wkplc_comp-dita.html,YES,
